question,ground_truth
"Triệu chứng của bệnh tăng huyết áp là gì?","Các triệu chứng thường gặp của tăng huyết áp bao gồm nhức đầu, nặng đầu, mỏi gáy và chóng mặt. Tuy nhiên, nhiều trường hợp không có triệu chứng và chỉ được phát hiện khi đo huyết áp tình cờ hoặc khi đã có biến chứng."
"Suy tim và nhồi máu cơ tim khác nhau như thế nào?","Suy tim là một tình trạng mạn tính khi tim bị suy yếu và không thể bơm đủ máu, trong khi nhồi máu cơ tim là một sự kiện cấp tính xảy ra khi dòng máu đến một phần cơ tim bị chặn đột ngột, thường do cục máu đông gây hoại tử cơ tim."
"Làm thế nào để phòng ngừa bệnh mạch vành?","Để phòng ngừa bệnh mạch vành, cần tuân thủ lối sống lành mạnh bao gồm ngưng hút thuốc, tập thể dục thường xuyên, duy trì cân nặng hợp lý, ăn chế độ tốt cho tim mạch (ít chất béo, ít muối, nhiều rau củ), và kiểm soát tốt các bệnh đi kèm như cao huyết áp và đái tháo đường."
"Rung nhĩ có nguy hiểm không và tại sao?","Rung nhĩ rất nguy hiểm vì nó làm tăng nguy cơ đột quỵ lên gấp 5-7 lần do việc hình thành cục máu đông trong tim. Nếu tình trạng này kéo dài, nó có thể làm tim co bóp kém hiệu quả và dẫn đến suy tim."
"Nguyên nhân chính gây ra xơ vữa động mạch là gì?","Nguyên nhân chính gây ra xơ vữa động mạch là sự tích tụ các mảng bám, được hình thành từ cholesterol, chất béo và các chất khác, trên thành động mạch. Các yếu tố nguy cơ hàng đầu thúc đẩy quá trình này bao gồm tăng huyết áp, rối loạn mỡ máu (cholesterol xấu cao), đái tháo đường và hút thuốc lá."
"Đột quỵ do thiếu máu cục bộ khác gì với đột quỵ do xuất huyết?","Đột quỵ do thiếu máu cục bộ, chiếm khoảng 85% các ca, xảy ra khi một cục máu đông làm tắc nghẽn động mạch cung cấp máu cho não. Ngược lại, đột quỵ do xuất huyết xảy ra khi một mạch máu trong não bị vỡ, gây chảy máu vào nhu mô não."
"Bệnh đái tháo đường có liên quan gì đến bệnh tim mạch?","Đái tháo đường là một yếu tố nguy cơ rất lớn đối với bệnh tim mạch. Lượng đường trong máu cao kéo dài có thể làm tổn thương các mạch máu và dây thần kinh kiểm soát tim, dẫn đến các bệnh như bệnh mạch vành, xơ vữa động mạch và tăng huyết áp."
"Các phương pháp điều trị suy tim bao gồm những gì?","Việc điều trị suy tim thường bao gồm thay đổi lối sống như ăn nhạt, hạn chế dịch và tập thể dục phù hợp; kết hợp với việc sử dụng các nhóm thuốc cơ bản như thuốc lợi tiểu, thuốc ức chế men chuyển, chẹn beta. Trong các trường hợp nặng, có thể cần đến các thiết bị hỗ trợ tim hoặc phẫu thuật."
"Dấu hiệu của cơn thiếu máu cơ tim là gì?","Dấu hiệu điển hình nhất của thiếu máu cơ tim là cơn đau thắt ngực, thường được mô tả là cảm giác nặng, tức, bóp nghẹt ở ngực trái hoặc sau xương ức, có thể lan lên cổ, hàm hoặc cánh tay trái. Cơn đau thường xuất hiện khi gắng sức và giảm khi nghỉ ngơi."
"Làm sao để chẩn đoán bệnh rung nhĩ?","Để chẩn đoán rung nhĩ, phương pháp cơ bản nhất là đo điện tâm đồ (ECG). Trong trường hợp các cơn rung nhĩ không thường xuyên, bác sĩ có thể chỉ định theo dõi bằng Holter ECG trong 24 giờ hoặc lâu hơn để tăng khả năng bắt được cơn loạn nhịp."
"Rối loạn lipid máu là gì?","Rối loạn lipid máu, hay còn gọi là mỡ máu cao, là tình trạng có mức độ bất thường của các chất béo trong máu, thường là nồng độ cholesterol xấu (LDL) và chất béo trung tính (triglycerides) cao, hoặc nồng độ cholesterol tốt (HDL) thấp. Tình trạng này là nguyên nhân chính gây ra xơ vữa động mạch."
"Người trẻ tuổi có nguy cơ bị đột quỵ không?","Có, nguy cơ đột quỵ đang có xu hướng trẻ hóa. Nguyên nhân chủ yếu ở người trẻ là do lối sống thiếu khoa học như uống nhiều bia rượu, hút thuốc, ít vận động, dẫn đến các bệnh lý như tăng huyết áp, béo phì và rối loạn mỡ máu sớm hơn."
